city,date_time,temperature,humidity,pressure,wind_speed,rainfall,weather_code,latitude,longitude
Mastung,2024-05-28 07:00:00,22.0,19,831.5,12.2,0.0,0,29.7997,66.8455
Loralai,2024-04-09 21:00:00,21.6,20,859.7,14.2,0.0,3,30.3705,68.5979
Tando Allahyar,2025-03-05 10:00:00,21.4,20,1018.5,4.5,0.0,0,25.4605,68.717
Vehari,2024-04-16 09:00:00,26.1,67,997.7,8.5,0.0,0,30.0419,72.3528
Haripur,2025-06-26 11:00:00,27.5,80,946.3,5.5,0.6,53,33.9942,72.934
Larkana,2025-11-30 18:00:00,20.4,26,1007.5,5.2,0.0,0,27.559,68.212
Hyderabad,2025-10-27 12:00:00,33.7,27,1007.1,15.5,0.0,2,25.396,68.3578
Rawalpindi,2024-07-07 04:00:00,23.5,91,942.5,14.0,1.3,61,33.5651,73.0169
Burewala,2025-03-09 02:00:00,16.4,67,991.7,6.8,0.0,1,30.1667,72.65
Kalat,2025-07-19 18:00:00,30.9,13,800.3,27.6,0.0,2,29.0266,66.5936
Sukkur,2025-09-04 11:00:00,35.5,49,997.0,13.7,0.0,0,27.7052,68.8574
Sahiwal,2024-11-01 20:00:00,23.7,62,992.1,7.7,0.0,0,30.6682,73.1114
Kallar Syedan,2024-01-23 09:00:00,6.6,98,959.2,9.5,0.0,3,33.4167,73.3833
Lakki Marwat,2025-12-05 03:00:00,7.6,76,986.6,1.7,0.0,0,32.607,70.9114
Swabi,2025-07-11 20:00:00,26.6,78,963.1,5.3,0.0,0,34.1202,72.4698
Burewala,2025-06-17 15:00:00,38.6,33,980.6,10.9,0.0,0,30.1667,72.65
Hyderabad,2024-03-15 05:00:00,18.7,43,1010.7,20.2,0.0,0,25.396,68.3578
Khuzdar,2024-01-02 16:00:00,18.7,28,881.9,18.4,0.0,3,27.8,66.6167
Skardu,2025-09-24 01:00:00,15.7,58,779.1,0.9,0.0,0,35.2971,75.6333
Burewala,2025-06-28 12:00:00,38.1,44,981.4,8.8,0.0,0,30.1667,72.65
Kotli,2024-10-31 19:00:00,21.4,66,943.3,3.3,0.0,0,33.5184,73.9022
Khairpur,2025-07-10 20:00:00,36.7,41,990.7,12.2,0.0,3,27.5295,68.7592
Kohat,2024-03-29 13:00:00,26.2,40,954.1,8.6,0.0,2,33.5869,71.4429
Burewala,2024-03-07 05:00:00,10.8,83,996.8,7.7,0.0,2,30.1667,72.65
Tank,2024-12-15 16:00:00,18.2,28,986.7,4.0,0.0,1,32.2167,70.3833
Larkana,2024-03-05 08:00:00,12.4,56,1014.5,9.0,0.0,3,27.559,68.212
Swabi,2024-11-16 17:00:00,18.6,58,974.5,3.2,0.0,0,34.1202,72.4698
Sukkur,2024-03-21 18:00:00,31.6,29,997.7,7.7,0.0,0,27.7052,68.8574
Bagh,2025-08-18 07:00:00,9.7,99,705.6,5.6,0.8,53,33.9861,73.9478
Karak,2024-07-06 01:00:00,27.5,77,932.9,20.8,0.0,3,33.1167,71.0833
Chilas,2025-10-03 01:00:00,19.9,53,887.7,1.0,0.0,2,35.4206,74.0967
Toba Tek Singh,2024-05-02 17:00:00,35.1,14,985.4,6.9,0.0,0,30.9697,72.4827
